year,rank,title,artist,previous,peak,weeks,halftime
2023,93,RETHE 1975,THE 1975,101,41,167,0
2023,94,RETHE QUEEN IS DEAD,SMITHS,101,8,72,0
2023,95,THE GOOD WITCH,MAISIE PETERS,80,1,5,0
2023,96,REIGOR,TYLER THE CREATOR,101,27,124,0
2023,97,REAROUND THE FUR,DEFTONES,101,88,30,0
2023,98,SPARK OF LIGHT,MICHAEL BOLTON,18,18,2,0
2023,99,THE CLASSICS,TONY BENNETT,101,99,1,0
2023,100,RE[HYBRID THEORY],LINKIN PARK,101,4,224,0
2024,1,YUMMY,JAMES,101,1,1,0
2024,2,ONE DEEP RIVER,MARK KNOPFLER,101,2,1,0
2024,3,HALO EFFECT,KRIS BARRAS BAND,101,3,1,0
2024,4,THIS COULD BE TEXAS,ENGLISH TEACHER,101,4,1,0
2024,5,HOMBRES,GUN,101,5,1,0
2024,6,COWBOY CARTER,BEYONCE,12,1,3,0
2024,7,PAPERCUTS - SINGLES COLLECTION 2000-2023,LINKIN PARK,101,7,1,0
2024,8,DON'T FORGET ME,MAGGIE ROGERS,101,8,1,0
2024,9,SILENCE IS LOUD,NIA ARCHIVES,101,9,1,0
2024,10,LIFEBLOOD,MANIC STREET PREACHERS,101,10,1,0
2024,11,I'M DOING IT AGAIN BABY,GIRL IN RED,101,11,1,0
2024,12,DID YOU KNOW THAT THERE'S A TUNNEL UNDER,LANA DEL REY,94,1,56,0
2024,13,SAN VITO,FEELING,101,13,1,0
2024,14,TO THE LIMIT - THE ESSENTIAL COLLECTION,EAGLES,101,14,1,0
2024,15,BACK TO BLACK,AMY WINEHOUSE,21,4,478,0
2024,16,ALL QUIET ON THE EASTERN ESPLANADE,LIBERTINES,1,1,2,0
2024,17,LOVE IS ALL AROUND,ANDRE RIEU & JOHANN STRAUSS OR,101,17,1,0
2024,18,OUR BRAND COULD BE YR LIFE,BODEGA,101,18,1,0
2024,19,1989 (TAYLOR'S VERSION),TAYLOR SWIFT,16,1,25,0
2024,20,STICK SEASON,NOAH KAHAN,57,2,29,0
2024,21,FIREWORKS & ROLLERBLADES,BENSON BOONE,40,21,2,0
2024,22,THIS LIFE,TAKE THAT,31,1,21,0
2024,23,HACKNEY DIAMONDS,ROLLING STONES,20,1,26,0
2024,24,FIRES,NERINA PALLOT,101,24,1,0
2024,25,I'VE TRIED EVERYTHING BUT THERAPY - PT 1,TEDDY SWIMS,23,4,20,0
2024,26,ONLY GOD WAS ABOVE US,VAMPIRE WEEKEND,5,5,2,0
2024,27,I WONDER IF THE WORLD KNOWS,K'S,2,2,2,0
2024,28,SWING FEVER,ROD STEWART & JOOLS HOLLAND,17,1,8,0
2024,29,LIAM GALLAGHER & JOHN SQUIRE,LIAM GALLAGHER & JOHN SQUIRE,34,1,7,0
2024,30,SKYDANCERS,MARTIN SIMPSON,101,30,1,0
2024,31,MY 21ST CENTURY BLUES,RAYE,19,2,34,0
2024,32,OHIO PLAYERS,BLACK KEYS,6,6,2,0
2024,33,AUDIO VERTIGO,ELBOW,18,1,4,0
2024,34,LEGEND,BOB MARLEY & THE WAILERS,24,4,478,0
2024,35,A LA SALA,KHRUANGBIN,8,8,2,0
2024,36,RUMOURS,FLEETWOOD MAC,35,3,470,0
2024,37,PERCEIVE ITS BEAUTY ACKNOWLEDGE ITS,SHABAKA,101,37,1,0
2024,38,THE DARK SIDE OF THE MOON,PINK FLOYD,39,7,454,0
2024,39,GOLD - GREATEST HITS,ABBA,30,5,478,0
2024,40,LOVER,TAYLOR SWIFT,37,1,198,0
2024,41,MIDNIGHTS,TAYLOR SWIFT,36,1,78,0
2024,42,THE WORLD EP FIN - WILL,ATEEZ,26,2,20,0
2024,43,GUTS,OLIVIA RODRIGO,22,1,32,0
2024,44,ETERNAL SUNSHINE,ARIANA GRANDE,25,2,6,0
2024,45,BLACK/RED,FEEDER,4,4,2,0
2024,46,FOUND HEAVEN,CONAN GRAY,3,3,2,0
2024,47,FOLKLORE,TAYLOR SWIFT,41,2,195,0
2024,48,PRELUDE TO ECSTASY,LAST DINNER PARTY,42,1,11,0
2024,49,GHOSTBUSTERS - FROZEN EMPIRE - OST,DARIO MARIANELLI,101,49,1,0
2024,50,THE SINGLES 1992-2003,NO DOUBT,101,50,1,0
2024,51,NEVERMIND,NIRVANA,52,14,393,0
2024,52,STORIES FROM TIME AND SPACE,HAWKWIND,9,9,2,0
2024,53,BORN TO DIE,LANA DEL REY,49,16,288,0
2024,54,LOVE IN CONSTANT SPECTACLE,JANE WEAVER,13,13,2,0
2024,55,ABOMINATION,LYNKS,101,55,1,0
2024,56,REFRANK,AMY WINEHOUSE,101,55,21,0
2024,57,HUMBLE AS THE SUN,BOB VYLAN,7,7,2,0
2024,58,AM,ARCTIC MONKEYS,55,7,470,0
2024,59,EVERMORE,TAYLOR SWIFT,46,2,171,0
2024,60,REHELL FIRE AND DAMNATION,SAXON,101,2,12,0
2024,61,NEVER TOO MUCH,LUTHER VANDROSS,101,61,1,0
2024,62,REDOGREL,FONTAINES DC,101,5,73,0
2024,63,REPUTATION,TAYLOR SWIFT,50,1,166,0
2024,64,1967-1970,BEATLES,69,1,46,0
2024,65,RED (TAYLOR'S VERSION),TAYLOR SWIFT,53,1,127,0
2024,66,THE STONE ROSES,STONE ROSES,56,7,356,0
2024,67,RE1985,WATERBOYS,101,19,2,0
2024,68,INTERPLAY,RIDE,43,2,3,0
2024,69,BRIGHT FUTURE,ADRIANNE LENKER,59,8,4,0
2024,70,INVINCIBLE SHIELD,JUDAS PRIEST,54,1,6,0
2024,71,ULTRAVIOLENCE,LANA DEL REY,72,5,104,0
2024,72,GRACE,JEFF BUCKLEY,62,28,57,0
2024,73,HATFUL OF HOLLOW,SMITHS,87,39,107,0
2024,74,OK COMPUTER,RADIOHEAD,66,1,183,0
2024,75,THE GLORIFICATION OF SADNESS,PALOMA FAITH,79,2,9,0
2024,76,WHAT'S THE STORY MORNING GLORY,OASIS,70,3,451,0
2024,77,SOUR,OLIVIA RODRIGO,65,1,152,0
2024,78,WALL OF EYES,SMILE,90,3,12,0
2024,79,BON JOVI,BON JOVI,101,79,1,0
2024,80,DEEPER WELL,KACEY MUSGRAVES,51,1,5,0
2024,81,GHOST STORIES,BLUE OYSTER CULT,101,81,1,0
2024,82,IN UTERO,NIRVANA,63,17,46,0
2024,83,THE RECORD,BOYGENIUS,64,1,55,0
2024,84,THE BENDS,RADIOHEAD,78,68,92,0
2024,85,REIN RAINBOWS,RADIOHEAD,101,85,55,0
2024,86,FEARLESS (TAYLOR'S VERSION),TAYLOR SWIFT,73,1,106,0
2024,87,BROKEN BY DESIRE TO BE HEAVENLY SENT,LEWIS CAPALDI,76,1,48,0
2024,88,REBACK IN BLACK,AC/DC,101,7,201,0
2024,89,SPEAK NOW (TAYLOR'S VERSION),TAYLOR SWIFT,84,1,41,0
2024,90,THE NEW NORMAL,TRIFECTA,101,90,1,0
2024,91,REDEFINITELY MAYBE,OASIS,101,3,379,0
2024,92,REWHO'S NEXT,WHO,101,6,40,0
2024,93,VOLCANO,JUNGLE,60,3,21,0
2024,94,THE QUEEN IS DEAD,SMITHS,80,8,110,0
2024,95,RETANGK,IDLES,101,1,9,0
2024,96,SNOW ANGEL,RENEE RAPP,77,3,24,0
2024,97,THE MANDRAKE PROJECT,BRUCE DICKINSON,88,3,7,0
2024,98,HAPPINESS BASTARDS,BLACK CROWES,85,6,5,0
2024,99,IGOR,TYLER THE CREATOR,97,27,159,0
2024,100,UP ON GRAVITY HILL,METZ,101,100,1,0
